"Национальное_географическое_общество","Nat_Geo_Wild"
"China_Southern_Airlines","Sichuan_Airlines"
"Christian_Dior","LVMH"
"Chrysler","Dodge"
"Chrysler","Jeep"
"Chrysler","Plymouth"
"Cisco_Systems","IronPort"
"Cisco_Systems","Sourcefire"
"Citigroup","Citibank"
"Comair_(ЮАР)","Imperial_Air_Cargo"
"Comair_(ЮАР)","Kulula.com"
"Corel","Ulead"
"Crytek","Crytek_Black_Sea"
"Daimler","Mercedes-AMG_GmbH"
"Daimler","Plymouth"
"Daimler","Mitsubishi_Fuso_Truck_and_Bus_Corporation"
"Daimler_Motor_Company","Lanchester_Motor_Company"
"Daimler-Benz","Daimler-Benz_Aerospace_AG"
"Daimler-Benz","Dornier"
"Danske_Bank","Северный_банк_(Ирландия)"
"DC_Comics","Vertigo_(комиксы)"
"DC_Comics","WildStorm"
"Del_Rey_Books","Del_Rey_Manga"
"Dell","Force10_Networks"
"Dell","Alienware"
"Delta_Air_Lines","Freedom_Airlines"
"Delta_Air_Lines","Northwest_Airlines"
"Delta_Air_Lines","Pinnacle_Airlines"
"Delta_Air_Lines","Comair"
"Deutsche_Telekom","T-Mobile"
"Deutsche_Telekom","T-Online"
"DHL","Air_Hong_Kong"
"Diageo","Old_Bushmills_Distillery"
"Disney_Interactive","Avalanche_Software"
"Disney_Interactive","Black_Rock_Studio"
"Doosan","Bobcat_Company"
"Dow_Jones_&_Company","Factiva"
"DP_World","Peninsular_and_Oriental_Steam_Navigation_Company"
"DreamWorks","DreamWorks_Records"
"Dubai_World","P&O_Ferries"
"Dunkin’_Brands","Baskin-Robbins"
"Dunkin’_Brands","Dunkin’_Donuts"
"E.ON","Nord_Stream_AG"
"E.ON","Э.ОН_Россия"
"EA_Digital_Illusions_CE","EA_Los_Angeles"
"EasyJet","GB_Airways"
"EgyptAir","Air_Cairo"
"EgyptAir","EgyptAir_Express"
"Eidos_Interactive","Crystal_Dynamics"
"Eidos_Interactive","Eidos_Studios_Hungary"
"Eidos_Interactive","Eidos_Montreal"
"Eidos_Interactive","IO_Interactive"
"Eizo","Irem"
"Electronic_Arts","EA_Black_Box"
"Electronic_Arts","EA_Montreal"
"Electronic_Arts","Maxis"
"Electronic_Arts","BioWare"
"Electronic_Arts","EA_Canada"
"Electronic_Arts","Origin_Systems"
"Electronic_Arts","Visceral_Games"
"Electronic_Arts","EA_Digital_Illusions_CE"
"Electronic_Arts","PopCap_Games"
"Electronic_Arts","Mythic_Entertainment"
"Electronic_Arts","EA_Phenomic"
"Electronic_Arts","Ghost_Games"
"Electronic_Arts","Criterion_Games"
"Elsevier","Academic_Press"
"Elsevier","Morgan_Kaufmann_Publishers"
"Embarcadero_Technologies","CodeGear"
"EMC","VMware"
"EMC","Syncplicity"
"EMC","Mozy"
"Emerson_Electric","Rosemount"
"EMI","Parlophone"
"EMI","Virgin_Records"
"EMI","Capitol_Records"
"EMI","Mute_Records"
"EMI","EMI_Music_Japan"
"EMI","Doggystyle_Records"
"Enel","Endesa"
"Enel","Энел_ОГК-5"
"Eni","Agip"
"Epic_Games","Titan_Studios"
"Epitaph_Records","ANTI-_Records"
"Ericsson","ST-Ericsson"
"Etihad_Airways","Air_Berlin"
"ExxonMobil","Imperial_Oil"
"Federal_Air","Pelican_Air_Services"
"FedEx","FedEx_Express"
"Fiat","Alfa_Romeo"
"Fiat","Maserati"
"Fiat","Ferrari"
"Fiat","Abarth"
"Fiat","Autobianchi"
"Fiat","Lancia"
"Fiji_Airways","Pacific_Sun"
"Finmeccanica","AgustaWestland"
"Finmeccanica","AnsaldoBreda"
"Finmeccanica","MBDA"
"Finmeccanica","Alenia_Aeronautica"
"Fiskars","Royal_Copenhagen"
"FN_Herstal","Браунинг_(пистолет)"
"Focus_Features","Rogue_(компания)"
"Ford","Lincoln_(автомобильная_марка)"
"Ford","Volvo_V70"
"Ford","Mercury_(автомобильная_марка)"
"Ford","Ford_Performance_Vehicles"
"Ford","Merkur"
"France_Telecom","Orange_Armenia"
"France_Telecom","Orange_Business_Services"
"France_Telecom","Orange"
"France_Telecom","Orange_Moldova"
"Fuji_Heavy_Industries","Subaru"
"Fuji_Television","Pony_Canyon"
"GDF_Suez","Nord_Stream_AG"
"Geely_Automobile","Volvo_V70"
"Geely_Automobile","Volvo_Personvagnar"
"General_Dynamics","Electric_Boat"
"General_Dynamics","Bath_Iron_Works"
"General_Dynamics","Convair"
"General_Dynamics","Fore_River_Shipyard"
"General_Dynamics","Gulfstream"
"General_Electric","GE_Transportation"
"General_Motors","Oldsmobile"
"General_Motors","Opel"
"General_Motors","Holden"
"General_Motors","Pontiac"
"General_Motors","Saab_Automobile_AB"
"General_Motors","Saturn_(компания)"
"General_Motors","North_American_Aviation"
"General_Motors","Allison_Engine_Company"
"General_Motors","LaSalle"
"Germaniawerft","NV_Ingenieurskantoor_voor_Scheepsbouw"
"Gibson","Kramer_Guitars"
"Gibson","Epiphone"
"Glencore_International","Казцинк"
"Glu_Mobile","Griptonite_Games"
"Golden_Telecom","Cityline"
"Goldman_Sachs","Hawker_Beechcraft"
"Goodyear_Tire_and_Rubber_Company","Dunlop Tires"
"Google_(компания)","AdMob"
"Google_(компания)","Motorola_Mobility"
"Grimaldi_Group","Minoan_Lines"
"Groupe_Canal+","StudioCanal"
"Grupo_Marsans","Air_Comet"
"Hainan_Airlines","Aigle_Azur"
"Hasbro","Milton_Bradley_Company"
"Hasbro","Wizards_of_the_Coast"
"Hawker_Siddeley","De_Havilland"
"Hearst_Corporation","Hearst_Television"
"Hewlett-Packard","Electronic_Data_Systems"
"Hewlett-Packard","Palm_(компания)"
"Hilton_Worldwide","Hilton_Hotels"
"Hitachi","Clarion_(компания)"
"Honda","Honda_Aircraft_Company"
"Honeywell","Intermec"
"HSBC","Hang_Seng_Bank"
"HSBC","The_Hongkong_and_Shanghai_Banking_Corporation"
"HTC","S3_Graphics"
"Huawei","Huawei_Symantec"
"Humber_(автомобильная_марка)","Hillman_(автомобильная_марка)"
"Iberdrola","Scottish_Power"
"Iberia_Airlines","Aviaco"
"Iberia_Airlines","Iberia_Express"
"Imagination_Technologies","MIPS_Technologies"
"Inditex","Zara"
"Inditex","Massimo_Dutti"
"Inditex","Bershka"
"Industrieverband_Fahrzeugbau","Simson"
"Integra_Air","Bar_XH_Air"
"Intel","Wind_River_Systems"
"Intel","Havok_(компания)"
"Intel","McAfee"
"InterContinental_Hotels_Group","InterContinental"
"International_Airlines_Group","British_Airways"
"International_Airlines_Group","Iberia_Airlines"
"International_Airlines_Group","BA_CityFlyer"
"International_Airlines_Group","Comair_(ЮАР)"
"International_Airlines_Group","Air_Nostrum"
"International_Airlines_Group","Vueling_Airlines"
"Interplay_Entertainment","Black_Isle_Studios"
"Island_Def_Jam_Music_Group","GOOD_Music"
"Iveco","Heuliez_Bus"
"Iveco","Magirus"
"Iveco","Irisbus"
"Johnny_&_Associates","J_Storm"
"JPMorgan_Chase","J.P._Morgan_&_Co."
"Kader","Bachmann_Industries"
"Keewatin_Air","Kivalliq_Air"
"Konami","Hudson_Soft"
"Konami","Ultra_Games"
"Konami","Kojima_Productions"
"Korean_Air","Jin_Air"
"Korean_Air","Grandstar_Cargo"
"Korean_Air","Czech_Airlines"
"Kraft_Foods","Cadbury"
"KUKA_Roboter","KUKA_Systems"
"Kyocera","KDDI"
"Lactalis","Parmalat"
"Lamborghini","Ducati"
"LAN_Airlines","TAM_Airlines"
"LATAM_Airlines_Group","LAN_Airlines"
"Legrand","Vantage_Controls"
"LG_Group","LG_Electronics"
"LG_Group","LG_Display"
"Lionsgate","Summit_Entertainment"
"Lloyds_Banking_Group","HBOS"
"Lloyds_Banking_Group","Банк_Шотландии"
"Lockheed_Martin","United_Space_Alliance"
"Louis_Delhaize_Group","Cora"
"Lucasfilm","LucasArts_Entertainment"
"Lucasfilm","Pixar"
"Lucasfilm","Industrial_Light_&_Magic"
"Lucasfilm","THX"
"Lufthansa","Tyrolean_Airways"
"Lufthansa","Swiss_International_Air_Lines"
"Lufthansa","Austrian_Airlines"
"Lufthansa","Bmi"
"Lufthansa","Condor_Airlines"
"Lufthansa","Germanwings"
"Lufthansa","Edelweiss_Air"
"Lufthansa","Luxair"
"Lufthansa","JetBlue_Airways"
"Lufthansa","SunExpress"
"Lufthansa","Eurowings"
"Lufthansa","Air_Dolomiti"
"Lufthansa","Lufthansa_Cargo"
"Lufthansa","Lufthansa_CityLine"
"Lufthansa","Lufthansa_Regional"
"Lufthansa","Brussels_Airlines"
"Luxottica","Oakley"
"LVMH","Givenchy"
"LVMH","Hublot"
"LVMH","Guerlain"
"LVMH","TAG_Heuer"
"LVMH","Zenith"
"LVMH","Louis_Vuitton"
"LVMH","Fendi"
"LVMH","Hennessy"
"LVMH","Вдова_Клико"
"LVMH","Sephora"
"Macmillan_Publishers","Palgrave_Macmillan"
"Mahindra_&_Mahindra_Limited","SsangYong_Motor_Company"
"Malaysia_Airlines","Firefly_(авиакомпания)"
"Malaysia_Airlines","MASwings"
"MAN","MAN_Truck_&_Bus"
"MAN","Neoplan"
"Marcopolo","Volgren"
"Marriott_International","Ritz-Carlton"
"Mars","Pedigree"
"Mars","Wrigley"
"Marvel_Comics","Icon_Comics"
"Marvel_Entertainment","Marvel_Comics"
"Marvel_Entertainment","Marvel_Studios"
"Mattel","Fisher-Price"
"Maxis","The_Sims_Studio"
"McDonald’s","McDonald’s_в_Израиле"
"McDonnell_Douglas","Siemens_PLM_Software"
"McGraw-Hill","Standard_&_Poor’s"
"McLaren_Group","McLaren"
"Metro_AG","Real"
"Metro-Goldwyn-Mayer","United_Artists"
"MGM_Holdings","United_Artists"
"Micron_Technology","Lexar_Media"
"Micron_Technology","Numonyx"
"Microsoft","Skype_Limited"
"Microsoft","Microsoft_Studios"
"Microsoft_Studios","Rare"
"Microsoft_Studios","Turn_10_Studios"
"MiTAC","Magellan_Navigation"
"Mitsubishi","Mitsubishi_UFJ_Financial_Group"
"Mitsubishi","Mitsubishi_Motors"
"Mitsubishi","Nikon"
"Mitsubishi","Mitsubishi_Electric"
"Mitsubishi_UFJ_Financial_Group","The_Bank_of_Tokyo-Mitsubishi_UFJ"
"Mitsui_&_Co.","Mitsui_Oil_Exploration"
"Mizuho_Financial_Group","Банк_Мидзухо"
"MOL","Slovnaft"
"Monsanto_Company","Seminis"
"Moody’s","Moody’s Analytics"
"Mozilla_Foundation","Mozilla_Corporation"
"Mozilla_Foundation","Mozilla_Messaging"
"MV_Agusta","Cagiva"
"Myspace","MySpace_Records"
"NASDAQ_OMX_Group","OMX_Group"
"National_Australia_Bank","Клайдсдейл_банк"
"NBC_Universal","Universal_Studios"
"NCSoft","ArenaNet"
"Nederlandse_Gasunie","Nord_Stream_AG"
"News_Corporation","Fox_Atomic"
"News_World_Communications","United_Press_International"
"Nickelodeon","Nickelodeon_Animation_Studio"
"Nintendo","Game_Freak"
"Nintendo","Brownie_Brown"
"Nippon_Sheet_Glass","Pilkington"
"Nippon_Telegraph_and_Telephone","NTT_docomo"
"Nissan","Datsun"
"Nissan","Infiniti"
"Nokia","Navteq"
"Nokia","Nokia_Solutions_and_Networks"
"Nordic_Games_GmbH","The_Adventure_Company"
"Northrop_Grumman_Corporation","Scaled_Composites"
"Olvi","Тартуский_пивоваренный_завод_A._Le_Coq"
"Omni_–_Aviacao_e_Tecnologia","White_Airways"
"Opel","Vauxhall"
"OpenDNS","PhishTank"
"Oracle","PeopleSoft"
"Osram","Osram_Sylvania"
"Paccar","DAF_Trucks"
"Paccar","Tatra"
"Pacific_Wings","GeorgiaSkies"
"Pacific_Wings","New_Mexico_Airlines"
"Panasonic","Universal_Music_Group"
"Panasonic","Sanyo"
"Paramount_Pictures","MTV_Films"
"Paramount_Pictures","Paramount_Vantage"
"Paramount_Pictures","Nickelodeon_Movies"
"Pegatron","ASRock"
"PepsiCo","Пицца_Хат"
"Perfetti_Van_Melle","Chupa_Chups"
"Perseus_Books_Group","Basic_Books"
"PetroVietnam","Вьетсовпетро"
"Pfizer","Wyeth"
"Philips","Magnavox"
"Philips","Saeco"
"Piaggio","Aprilia"
"Piaggio","Vespa_(мотороллер)"
"Piaggio","Gilera"
"Polsteam","Unity_Line"
"Procter_&_Gamble","Braun"
"Procter_&_Gamble","The_Art_of_Shaving"
"Procter_&_Gamble","Wella_AG"
"Production_I.G","Bee_Train"
"Publicis_groupe","Leo_Burnett_Worldwide"
"Puig","Nina_Ricci"
"Qantas","Australian_air_Express"
"Qantas","Jetstar_Airways"
"Qantas","Qantas_Freight"
"Qantas","Eastern_Australia_Airlines"
"Qualcomm","Qualcomm_Atheros"
"Raiffeisen_Zentralbank","Райффайзенбанк"
"Rambus","Cryptography_Research"
"Renault","Автофрамос"
"Renault","Alpine_Renault"
"Renault","Dacia"
"Renault","Renault_Samsung_Motors"
"Republic_Airways_Holdings","Chautauqua_Airlines"
"Republic_Airways_Holdings","Republic_Airlines"
"Republic_Airways_Holdings","Shuttle_America"
"Richemont","Piaget"
"Richemont","Montblanc"
"Rio_Tinto","Rio_Tinto_Alcan"
"Rockstar_Games","Rockstar_Vienna"
"Rockstar_Games","Rockstar_Japan"
"Rockstar_Games","Rockstar_Lincoln"
"Rockstar_Games","Rockstar_London"
"Rockstar_Games","Rockstar_North"
"Rockstar_Games","Rockstar_New_England"
"Rockstar_Games","Rockstar_Vancouver"
"Rockstar_Games","Rockstar_San_Diego"
"Rockstar_Games","Rockstar_Leeds"
"Rockstar_Games","Rockstar_Toronto"
"Roland_Corporation","Boss_Corporation"
"Royal_Air_Maroc","Atlas_Blue"
"Royal_Arctic_Line","Arctic_Umiaq_Line"
"Royal_Caribbean_Cruises_Ltd.","Celebrity_Cruises"
"Royal_Caribbean_Cruises_Ltd.","TUI_Cruises"
"Royal_Caribbean_Cruises_Ltd.","Royal_Caribbean_International"
"Royal_Dutch_Shell","Pennzoil"
"RTL_Group","Universum_Film_AG"
"RTL_Television","DiC_Entertainment"
"RWE","Essent"
"S7_Airlines","Глобус_(авиакомпания)"
"Saab_AB","Saab_Automobile_AB"
"SABMiller","Foster’s Group Limited"
"Safran_SA","Snecma"
"SAIC_Motor","Baojun"
"SAIC_Motor","Nanjing_Automobile"
"SAIC_Motor","LDV_Group"
"Salesforce.com","Heroku"
"Samsung","Samsung_Electronics"
"Samsung","Samsung_Heavy_Industries"
"Sanctuary_Records","Trojan_Records"
"Sanctuary_Records","Noise_Records"
"Sanyo","King_Records"
"Schneider_Electric","American_Power_Conversion"
"SeaPort_Airlines","Wings_of_Alaska"
"Sega","Sonic_Team"
"Sega","Index_Corporation"
"Sega","Atlus"
"Sega","Sega_Sports_Japan"
"Sega","Relic_Entertainment"
"Sega","Sports_Interactive"
"Sega","Creative_Assembly"
"Sega","Amusement_Vision"
"Seven_&_I_Holdings","7-Eleven"
"Shenzhen_Airlines","Henan_Airlines"
"Sichuan_Airlines","Hebei_Airlines"
"Siemens","Siemens_Milltronics_Process_Instruments"
"Siemens","Siemens_Mobility"
"Siemens","Сотовые_телефоны_Siemens"
"Siemens","Siemens_PLM_Software"
"Siemens","Siemens_Energy"
"Siemens","Solel_Solar_Systems"
"Sierra_Entertainment","Radical_Entertainment"
"Sierra_Entertainment","High_Moon_Studios"
"Silver_Pictures","Dark_Castle_Entertainment"
"Snapper_Music","Kscope"
"SNCF","Keolis"
"Software_AG","Кластер_Terracotta"
"Sony","Aiwa"
"Sony","Sony_Mobile_Communications"
"Sony","Sony_Pictures_Entertainment"
"Sony","Sony_Music_Entertainment_Japan"
"Sony","Sony_Financial_Holdings_Group"
"Sony","Sony_Computer_Entertainment"
"Sony","So-net"
"Sony_Computer_Entertainment","Sony_Online_Entertainment"
"Sony_Computer_Entertainment","Gaikai"
"Sony_Computer_Entertainment","989_Studios"
"Sony_Computer_Entertainment","Naughty_Dog"
"Sony_Music_Entertainment","Columbia_Records"
"Sony_Music_Entertainment","RCA_Records"
"Sony_Music_Entertainment","Epic_Records"
"Sony_Music_Entertainment","Hansa_Records"
"Sony_Music_Entertainment","Jive_Records"
"Sony_Music_Entertainment","J_Records"
"Sony_Music_Entertainment","GUN_Records"
"Sony_Music_Entertainment","Legacy_Recordings"
"Sony_Music_Entertainment","Combat_Records"
"Sony_Music_Entertainment_Japan","Aniplex"
"Sony_Pictures_Entertainment","Columbia_Pictures"
"Sony_Pictures_Entertainment","Sony_Pictures_Animation"
"Sony_Pictures_Entertainment","TriStar_Pictures"
"South_African_Airways","Mango"
"Southwest_Airlines","AirTran_Airways"
"Springer_Science+Business_Media","Apress"
"Square_(компания)","DigiCube"
"Square_Enix","Taito_Corporation"
"Square_Enix","Crystal_Dynamics"
"Square_Enix","Eidos_Studios_Hungary"
"Square_Enix","Eidos_Montreal"
"Square_Enix","Eidos_Interactive"
"Square_Enix","Square_Enix_Europe"
"Square_Enix","IO_Interactive"
"Square_Enix_Europe","Eidos_Interactive"
"Standard_&_Poor’s","Capital_IQ"
"STMicroelectronics","ST-Ericsson"
"STX_Europe","STX_Finland"
"Subaru","Subaru_Tecnica_International"
"Sumitomo_Heavy_Industries","Link-Belt_Construction_Equipment"
"Sumitomo_Mitsui_Financial_Group","Sumitomo_Mitsui_Banking_Corporation"
"Suzuki","Maruti_Suzuki_India_Ltd"
"Swatch_Group","Blancpain"
"Swatch_Group","Breguet"
"Swatch_Group","Omega_(компания)"
"Swatch_Group","Rado"
"Swatch_Group","Longines"
"Swatch_Group","ETA_(фабрика)"
"Swatch_Group","Endura"
"Swatch_Group","Hamilton"
"Swatch_Group","Swatch"
"Swatch_Group","Tissot"
"Swire_Group","Cathay_Pacific"
"Swiss_International_Air_Lines","Edelweiss_Air"
"Take-Two_Interactive","TalonSoft"
"Take-Two_Interactive","2K_China"
"Take-Two_Interactive","2K_Games"
"Take-Two_Interactive","Rockstar_Games"
"Takeda_Pharmaceutical","Nycomed"
"TAP_Portugal","PGA_Express"
"Tata_Group","Tata_Motors"
"Tata_Group","Tata_Tea_Limited"
"Tata_Motors","Tata_Hispano"
"Tata_Tea_Limited","Tetley"
"Taylor_&_Francis","Routledge"
"TEAC","Tascam"
"Telecom_Italia","Olivetti"
"Temasek_Holdings","Singapore_Airlines"
"Temasek_Holdings","Singapore_Telecommunications"
"Tengelmann_Group","The_Great_Atlantic_and_Pacific_Tea_Company"
"Tesla_Motors","Tesla_Roadster"
"Tetra_Laval","Tetra_Pak"
"Textron","Bell_Helicopter_Textron"
"Textron","Lycoming_Engines"
"The_3DO_Company","New_World_Computing"
"The_Hongkong_and_Shanghai_Banking_Corporation","Bank_of_Communications"
"The_Learning_Company","Red_Orb_Entertainment"
"The_Walt_Disney_Company","LucasArts_Entertainment"
"The_Walt_Disney_Company","Marvel_Comics"
"The_Walt_Disney_Company","Lucasfilm"
"The_Walt_Disney_Company","Hollywood_Pictures"
"The_Walt_Disney_Company","Industrial_Light_&_Magic"
"The_Walt_Disney_Company","THX"
"The_Walt_Disney_Company","Disney_Interactive"
"The_Walt_Disney_Company","Walt_Disney_Studios_Motion_Pictures"
"The_Walt_Disney_Company","Walt_Disney_Animation_Studios"
"The_Walt_Disney_Company","DiC_Entertainment"
"The_Walt_Disney_Company","Marvel_Entertainment"
"The_Walt_Disney_Company","Marvel_Studios"
"The_Weinstein_Company","Overture_Films"
"The_Weinstein_Company","Dimension_Films"
"THQ","Kaos_Studios"
"THQ","Helixe"
"Time_Warner","Hanna-Barbera"
"Time_Warner","Warner_Bros."
"Time_Warner","Warner_Bros._Television"
"Time_Warner","Williams_Street_Records"
"Time_Warner","New_Line_Cinema"
"Time_Warner","World_Championship_Wrestling"
"Time_Warner","Lorimar_Television"
"Time_Warner","Traveller’s_Tales"
"Tokyo_Broadcasting_System","King_Records"
"TomTom","Tele_Atlas"
"Toshiba","EMI_Music_Japan"
"Touch_and_Go_Records","Quarterstick_Records"
"Toyota","Scion"
"Toyota","Hino_Motors"
"Toyota","KDDI"
"Toyota_Group","Toyota"
"Toyota_Group","Daihatsu"
"Trek_Airways","Flitestar"
"Tribune_Company","Gracenote"
"Turkcell","Life:) (Беларусь)"
"Turkcell","Life:)_(Украина)"
"Turkish_Airlines","SunExpress"
"Ubisoft","Ubisoft_Milan"
"Ubisoft","Ubisoft_Red_Storm"
"Ubisoft","Ubisoft_Toronto"
"Ubisoft","Nadeo"
"Ubisoft","Ubisoft_Shanghai"
"Ubisoft","Ubisoft_Paris"
"Ubisoft","Related_Designs"
"Ubisoft","Ubisoft_Blue_Byte"
"Ubisoft","Gameloft"
"Ubisoft","Ubisoft_Reflections"
"Ubisoft","Ubisoft_Montreal"
"Ubisoft","Ubisoft_Quebec"
"Ubisoft","Ubisoft_Romania"
"Ubisoft","Ubisoft_Montpellier"
"Unilever","Ben_&_Jerry’s"
"United_Artists","United_Artists_Records"
"United_Technologies","Pratt_&_Whitney"
"United_Technologies","Carrier_Corporation"
"United_Technologies","Sikorsky_Aircraft"
"United_Technologies","Аэроджет_Рокетдайн"
"Universal","THX"
"Universal_Music_Group","Geffen_Records"
"Universal_Music_Group","Cherrytree_Records"
"Universal_Music_Group","Shady_Records"
"Universal_Music_Group","Octone_Records"
"Universal_Music_Group","Blue_Note_Records"
"Universal_Music_Group","Island_Records"
"Universal_Music_Group","Def_Jam_Recordings"
"Universal_Music_Group","Virgin_Records"
"Universal_Music_Group","Aftermath_Entertainment"
"Universal_Music_Group","A&M_Records"
"Universal_Music_Group","Ruff_Ryders_Entertainment"
"Universal_Music_Group","Fonovisa_Records"
"Universal_Music_Group","Decca_Records"
"Universal_Music_Group","American_Recordings"
"Universal_Music_Group","MCA_Records"
"Universal_Music_Group","Nothing_Records"
"Universal_Music_Group","Capitol_Records"
"Universal_Music_Group","Motown_Records"
"Universal_Music_Group","London_Records"
"Universal_Music_Group","Roadrunner_Records"
"Universal_Music_Group","Mercury_Records"
"Universal_Music_Group","Vertigo_Records"
"Universal_Music_Group","Verve_Records"
"Universal_Music_Group","Lost_Highway_Records"
"Universal_Music_Group","Interscope_Records"
"Universal_Music_Group","Deutsche_Grammophon"
"Universal_Music_Group","Polydor_Records"
"Universal_Music_Group","Harvest_Records"
"Universal_Music_Group","Lava_Records"
"Universal_Music_Group","Philips_Records"
"Universal_Music_Group","Cash_Money_Records"
"Universal_Music_Group","Charisma_Records"
"Universal_Music_Group","Amaru_Entertainment"
"Universal_Music_Group","SBK_Records"
"Universal_Music_Group","Island_Def_Jam_Music_Group"
"Universal_Music_Group","DreamWorks_Records"
"Universal_Music_Group","Konvict_Muzik"
"Universal_Music_Group","Derrty_Entertainment"
"Universal_Music_Group","Will.i.am_music"
"Universal_Music_Group","Astralwerks"
"Universal_Music_Group","Mute_Records"
"Universal_Music_Group","Serjical_Strike_Records"
"Universal_Music_Group","Universal_Republic"
"Universal_Music_Group","Interscope_Geffen_A&M"
"Universal_Music_Group","Machete_Music"
"Universal_Music_Group","Young_Money_Records"
"Universal_Music_Group","Sparrow_Records"
"Universal_Music_Group","I.R.S._Records"
"Universal_Studios","Focus_Features"
"Universal_Studios","Rogue_(компания)"
"Universal_Studios","Universal_Music_Group"
"VAP","Toy’s_Factory"
"Vee-Jay_Records","Tollie_Records"
"Verizon_Communications","Verizon_Wireless"
"Viacom","Bellator_MMA"
"Vickers_Limited","Vickers-Armstrongs"
"Vickers-Armstrongs","Supermarine"
"Victorinox","Wenger"
"Vietnam_Airlines","Cambodia_Angkor_Air"
"VimpelCom_Ltd.","Киевстар"
"VimpelCom_Ltd.","Вымпел-Коммуникации"
"Virgin_Atlantic_Airways","Air_Nigeria"
"Virgin_Group","Virgin_Atlantic_Airways"
"Virgin_Group","Virgin_Galactic"
"Virgin_Group","Virgin_Mobile"
"Virgin_Group","Virgin_Oceanic"
"Virgin_Group","Virgin_America"
"Virgin_Records","Planet_Mu"
"Vivendi","Universal_Music_Group"
"Vivendi","Groupe_Canal+"
"Vodafone","Kabel_Deutschland"
"Volkswagen_(концерн)","Volkswagen"
"Volkswagen_(концерн)","Bentley_Motors"
"Volkswagen_(концерн)","Volkswagen_Коммерческие_автомобили"
"Volkswagen_(концерн)","MAN"
"Volkswagen_(концерн)","SEAT"
"Volkswagen_(концерн)","Scania"
"Volkswagen_(концерн)","Quattro_GmbH"
"Volvo","Volvo_Trucks"
"Volvo","Prevost_Car"
"Volvo","Nova_Bus"
"Volvo","Renault_Trucks"
"Volvo","UD_Trucks"
"Volvo","Volvo_Bussar"
"VP_Grupe","Maxima_(сеть_супермаркетов)"
"Wal-Mart_Stores","Asda"
"Wal-Mart_Stores","Sam’s Club"
"Walt_Disney_Animation_Studios","DisneyToon_Studios"
"Wargaming.net","Gas_Powered_Games"
"Warner_Bros.","Warner_Bros._Interactive_Entertainment"
"Warner_Bros.","DC_Comics"
"Warner_Bros.","Castle_Rock_Entertainment"
"Warner_Bros.","New_Line_Cinema"
"Warner_Bros.","Warner_Bros._Animation"
"Warner_Bros._Interactive_Entertainment","Rocksteady_Studios"
"Warner_Bros._Interactive_Entertainment","NetherRealm_Studios"
"Warner_Bros._Interactive_Entertainment","Monolith_Productions"
"Warner_Bros._Interactive_Entertainment","Surreal_Software"
"Warner_Music_Group","Atlantic_Records"
"Warner_Music_Group","BME_Recordings"
"Warner_Music_Group","Parlophone"
"Warner_Music_Group","Fueled_by_Ramen"
"Warner_Music_Group","Sire_Records"
"Warner_Music_Group","Williams_Street_Records"
"Warner_Music_Group","Sub_Pop"
"Warner_Music_Group","Swan_Song_Records"
"Warner_Music_Group","Roadrunner_Records"
"Warner_Music_Group","Elektra_Records"
"Warner_Music_Group","Reprise_Records"
"Warner_Music_Group","East_West_Records"
"Warner_Music_Group","Silent_Majority_Group"
"Warner_Music_Group","Atco_Records"
"Warner_Music_Group","Chrysalis_Records"
"Warner_Music_Group","Giant_Records_(Warner)"
"Warner_Music_Group","OWSLA"
"Warner_Music_Group","Asylum_Records"
"Warner_Music_Group","Maverick_Records"
"Warner_Music_Group","Rhino_Entertainment"
"Warner_Music_Group","Ensign_Records"
"Western_Electric","Bell_Labs"
"Wintershall","Nord_Stream_AG"
"WWE","World_Championship_Wrestling"
"Xerox","Xerox_PARC"
"Yahoo!","AltaVista"
"Yum!_Brands","Taco_Bell"
"Yum!_Brands","Пицца_Хат"
"ZeniMax_Media","ZeniMax_Online_Studios"
"ZeniMax_Media","Id_Software"
"ZeniMax_Media","Bethesda_Softworks"
"ZeniMax_Media","Arkane_Studios"
"Zynga","Bonfire_Studios"
"Авиастар-СП","Авиастар-ТУ"
"Алмаз-Антей","Алмаз-Антей_(ГСКБ)"
"Алмаз-Антей","Нижегородский_машиностроительный_завод"
"Алмаз-Антей","Научно-исследовательский_институт_измерительных_приборов_–_Новосибирский_завод_имени_Коминтерна"
"Алмаз-Антей","Научно-исследовательский_институт_приборостроения_имени_В._В._Тихомирова"
"Алмаз-Антей","Конструкторское_бюро_специального_машиностроения"
"АЛРОСА","Алроса-Авиа"
"АЛРОСА","Алроса_(авиакомпания)"
"Альфа-Групп","Авианова"
"Асахи_симбун","TV_Asahi"
"Атомэнергопром","Росэнергоатом"
"Атомэнергопром","Атомэнергомаш"
"Атомэнергопром","Атомредметзолото"
"Атомэнергопром","Атомстройэкспорт"
"Аэрофлот","Аэрофлот-Карго"
"Аэрофлот","Россия_(авиакомпания)"
"Аэрофлот","Аврора (авиакомпания)"
"Аэрофлот","Донавиа"
"Аэрофлот","Владивосток_Авиа"
"Банк_ВТБ","Банк_Москвы"
"Би-би-си","BBC_Radio"
"ВИМ-Авиа","АэроБратск"
"Волга-Днепр","AirBridgeCargo"
"Вымпел-Коммуникации","Golden_Telecom"
"Газпром","Оптовая_генерирующая_компания_№_6"
"Газпром","Nord_Stream_AG"
"Газпром","Газпромбанк"
"Газпром","Мосэнерго"
